timestamp,source_file,page,raw_data,ai_01,ai_21,ai_91,ai_92,ai_93,ai_94,ai_95,ai_99,other
31.07.2025 19:52:28,Test_dmr.pdf,стр.26, 0104664056575019215><BtE91EE1192rV7LEg16VkBOEuucH1kjH4TScSDPtIO/8Mc2YNwZqlg=,,,EE11,rV7LEg16VkBOEuucH1kjH4TScSDPtIO/8Mc2YNwZqlg=,,,,, 0:104664056575019215><BtE
31.07.2025 19:52:28,Test_dmr.pdf,стр.27, 0104664056575019215xbAjh91EE1192c+rzrOce/8za3JPo2LXLtmXSme9TrG1//hubSpV/rJo=,,,EE11,c+rzrOce/8za3JPo2LXLtmXSme9TrG1//hubSpV/rJo=,,,,, 0:104664056575019215xbAjh
31.07.2025 19:52:28,Test_dmr.pdf,стр.28, 0104664056575019215jMQxi91EE1192FpJsIpPUbKFv2cJsU/fT54zW1x5895uUe3wItzfwCcY=,,,EE11,FpJsIpPUbKFv2cJsU/fT54zW1x5895uUe3wItzfwCcY=,,,,, 0:104664056575019215jMQxi
31.07.2025 19:52:28,Test_dmr.pdf,стр.29, 0104664056575019215pgnjP91EE1192EeZPgMO2QqZiMzvUIUOY/yMOrE2Jk7Tfun9sPMNenKY=,,,EE11,EeZPgMO2QqZiMzvUIUOY/yMOrE2Jk7Tfun9sPMNenKY=,,,,, 0:104664056575019215pgnjP
31.07.2025 19:52:28,Test_dmr.pdf,стр.30, 0104664056575019215Cgtd<91EE11920KXj5/8MyqiC52QmjZQ+gRLlQ4YY+yUXsDexb0T5Pig=,,,EE11,0KXj5/8MyqiC52QmjZQ+gRLlQ4YY+yUXsDexb0T5Pig=,,,,, 0:104664056575019215Cgtd<
31.07.2025 19:52:28,Test_dmr.pdf,стр.31," 0104664056575019215cmI,/91EE1192jhKFJ3Yz0B8bQk8xrGFO5OWVsaFUn5S3jVITiiT+KYk=",,,EE11,jhKFJ3Yz0B8bQk8xrGFO5OWVsaFUn5S3jVITiiT+KYk=,,,,," 0:104664056575019215cmI,/"
31.07.2025 19:52:28,Test_dmr.pdf,стр.32, 0104664056575019215Zc4nm91EE1192NJ77yqnos3+mZoTMzyP9PB8pPqazeIYeVQ2w0/MMo3s=,,,EE11,NJ77yqnos3+mZoTMzyP9PB8pPqazeIYeVQ2w0/MMo3s=,,,,, 0:104664056575019215Zc4nm
31.07.2025 19:52:28,Test_dmr.pdf,стр.33, 0104664056575019215jHWdm91EE1192f48h1yP1cLhZQe9GO3TkTE7xs6KLfkWeeoufeH1yGqc=,,,EE11,f48h1yP1cLhZQe9GO3TkTE7xs6KLfkWeeoufeH1yGqc=,,,,, 0:104664056575019215jHWdm
31.07.2025 19:52:28,Test_dmr.pdf,стр.34, 0104664056575019215jnkco91EE1192VPvrj4Wd4V5b3mth1tYDO92c2YmnshxG9FyuXdw5iIk=,,,EE11,VPvrj4Wd4V5b3mth1tYDO92c2YmnshxG9FyuXdw5iIk=,,,,, 0:104664056575019215jnkco
31.07.2025 19:52:28,Test_dmr.pdf,стр.35, 0104664056575019215)KIOi91EE1192GvDe4mi+u/0WDIq/HL2xF+BBsy0cAgvS+UVMDHrvqxI=,,,EE11,GvDe4mi+u/0WDIq/HL2xF+BBsy0cAgvS+UVMDHrvqxI=,,,,, 0:104664056575019215)KIOi
31.07.2025 19:52:28,Test_dmr.pdf,стр.36, 0104664056575019215>S1Kj91EE1192n6WJJPGpq0JJ24wfSLhyyKQGNk25XkXJv31T9i6DY/g=,,,EE11,n6WJJPGpq0JJ24wfSLhyyKQGNk25XkXJv31T9i6DY/g=,,,,, 0:104664056575019215>S1Kj
